,reward
0,28.89320961634317
1,31.408865729967747
2,32.73423135280609
3,34.318482875823975
4,31.2303136587143
5,32.579371651013695
6,34.74834839502971
7,29.924447417259216
8,30.759177764256805
9,30.342406749725342
10,33.974325776100144
11,31.75608082612355
12,33.27467425664264
13,32.547511537869774
14,38.02051432927451
15,36.62404390176136
16,31.22789788246155
17,32.17461597919464
18,33.024444341659546
19,34.863980611165374
20,33.098033189773574
21,35.738345662752785
22,34.86004948616028
23,33.12684269746145
24,33.077430168787636
25,33.433412551879876
26,33.06796431541443
27,35.31369570891063
28,36.48993968963622
29,32.649266441663116
30,39.04480930169422
31,33.039057175318405
32,37.01145998636883
33,38.66306984424591
34,35.002971847852066
35,40.99885825316111
36,34.468704541524254
37,31.693552414576207
38,36.886493206024184
39,29.60392586390177
40,35.0251340866089
41,34.81583027044932
42,34.56714431444806
43,38.16564277807872
44,34.804707566897086
45,33.41299649079641
46,36.27162845929464
47,35.20589598019917
48,36.96997018655139
49,31.089575926462803
50,34.41977469126385
